reward,encoder_loss,critic_loss,actor_loss
-0.11208710262070841,1.5888220071792603,0.11846479773521423,
-0.1133528017990986,1.5238041877746582,0.07135216891765594,0.21369701623916626
-0.1150036915459039,1.4726368188858032,0.09391066431999207,
-0.11563949610310273,1.421474814414978,0.09592252969741821,0.05584678053855896
-0.678585925578338,1.3596899509429932,0.12370973825454712,
-0.1046892960987099,1.2943813800811768,0.1594734489917755,0.0724252313375473
-0.11336196796434359,1.2352430820465088,0.14359137415885925,
-0.1257727581599372,1.1793313026428223,0.13368156552314758,0.13739128410816193
-0.12614561695910664,1.1271538734436035,0.08726300299167633,
-0.13959140006392115,1.0775070190429688,0.13002611696720123,0.17728456854820251
-0.08188051845874698,1.0246877670288086,0.14847087860107422,
-0.1485768515156481,0.974881649017334,0.14393556118011475,0.17172425985336304
-0.15239450622498277,0.924753725528717,0.14537093043327332,
-0.15607590772609048,0.8717426061630249,0.1288132667541504,0.1390165388584137
-0.15114516927628474,0.8212701082229614,0.10396446287631989,
-0.15125206748268763,0.7734066247940063,0.09853395074605942,0.11087159812450409
-0.1564826387897707,0.7278563976287842,0.14296047389507294,
-0.15767654826435473,0.6880233883857727,0.14021137356758118,0.10085995495319366
-1.3977655442704058,0.6543010473251343,0.20210079848766327,
-0.12921188965495384,0.6204334497451782,0.11900021135807037,0.10976710915565491
-0.14656231492696387,0.5912094116210938,0.14258581399917603,
-0.15002781776356958,0.5639036893844604,0.1923748403787613,0.12882156670093536
-0.15351388268962857,0.5350138545036316,0.1449752300977707,
-0.1566066132550859,0.506993293762207,0.22348880767822266,0.1482727825641632
-0.15290342524142847,0.47498852014541626,0.2195272296667099,
-0.1565639015557733,0.4432179927825928,0.14724814891815186,0.15546321868896484
-0.15885442837673067,0.4094257950782776,0.16141252219676971,
-0.16046247084754944,0.3782404661178589,0.17584040760993958,0.1481560468673706
-0.16195208478727607,0.3484286665916443,0.22463178634643555,
-0.16358409636355292,0.3210197985172272,0.23538446426391602,0.13369189202785492
-0.16584462686534598,0.2958940267562866,0.1782403290271759,
-0.16862891095791938,0.2722160220146179,0.25990891456604004,0.1236819252371788
-0.170910296305067,0.2495547980070114,0.20102615654468536,
-0.17305758827667173,0.22633206844329834,0.24092742800712585,0.12105317413806915
-0.17559060794483305,0.20589867234230042,0.17895711958408356,
-0.17801885729978706,0.1853688359260559,0.17310553789138794,0.12563742697238922
-0.18100062994224275,0.1660085767507553,0.1388014853000641,
-0.1843042244244174,0.1498960703611374,0.19345831871032715,0.13522619009017944
-0.18712232520059635,0.13438108563423157,0.22674134373664856,
-0.19007849312487118,0.12046656757593155,0.2149491161108017,0.1431223452091217
-0.19222909617353007,0.10819856077432632,0.19324788451194763,
-0.19401028929555397,0.09823869168758392,0.1771359145641327,0.14239534735679626
-0.19512223327160838,0.09001671522855759,0.2296704202890396,
-0.2078784293882262,0.08190526813268661,0.2535974383354187,0.13796991109848022
-0.20680914309591525,0.0750962346792221,0.15322443842887878,
-0.20121703698699092,0.07090673595666885,0.20928218960762024,0.12920299172401428
-0.20864395755768234,0.06618401408195496,0.2352454662322998,
-0.2062972767387912,0.06218569353222847,0.18000507354736328,0.12515977025032043
-0.20396881226480193,0.060188256204128265,0.26217758655548096,
-0.20115316413679518,0.057921070605516434,0.2986729145050049,0.12930867075920105
-0.1978578959555915,0.05649256333708763,0.23419468104839325,
-0.19479831707165535,0.05522245913743973,0.20048652589321136,0.1369212567806244
-0.17482580367689193,0.05452866852283478,0.21836839616298676,
-0.17667969402834138,0.05397508293390274,0.1749628633260727,0.1393570899963379
-0.173096826056632,0.05345092713832855,0.2130456119775772,
-0.10579831261823372,0.05355636030435562,0.21587827801704407,0.1339643895626068
-0.16516605424552516,0.05309048295021057,0.22004571557044983,
-0.16120617757152708,0.05298452824354172,0.1986873745918274,0.1275355964899063
-0.15834715948796402,0.05303192138671875,0.21335753798484802,
