Time Step,Average Reward,Reward Std
10000,-1.6457171702869544,8.653183920709063
20000,6.583322243094048,5.757520526547009
30000,8.037079718740674,7.501740754522699
40000,11.239296466771565,1.2987749318810458
50000,10.567073163834703,0.4467301094602784
60000,10.615285926068484,0.2990642883681166
70000,10.593667790479254,0.30887479930646927
80000,10.611129217787822,0.2493495222938427
90000,10.616832176007904,0.2614543649386954
100000,10.611381133559277,0.2606180203553325
110000,10.700788100497366,0.2379124536064824
120000,10.980095339069182,0.529618650154311
125000,10.790636100375284,0.4074044395361021
