Time Step,Average Reward,Reward Std
10000,0.3024100109842087,9.430831336616139
20000,5.499533341503982,6.380029043967987
30000,5.839746391894549,7.39022196013696
40000,10.737335522873384,0.33265330627341494
50000,10.635768515989032,0.2695364700622733
60000,10.696166899534981,0.35581084793871726
70000,10.658876283983194,0.32255540147133854
80000,10.712893862421577,0.4260066629338184
90000,10.873671830681928,0.43707945271013493
100000,10.679493077375145,0.2954763735975175
110000,10.667099511204754,0.27163699212091835
120000,10.742356177757067,0.37495858726887493
125000,10.689305339190424,0.29557292280235375
