Time Step,Average Reward,Reward Std
10000,-2.0662355512086483,7.824205219671878
20000,3.226147210663291,4.54390858443416
30000,9.616790548831029,2.772812374646138
40000,10.430045254639342,0.4490413120526115
50000,10.305577757883551,0.4166599762913898
60000,10.326547933924918,0.3733171659153886
70000,10.355558165437671,0.3059786734670142
80000,10.388620837100955,0.42144387227916147
90000,10.585572131751633,0.27078699408575096
100000,10.448969676768609,0.46613038561534853
110000,10.565763552944606,0.37636672874495297
120000,10.404580794553127,0.2551390675976115
125000,10.369929222370432,0.2821097420462748
10000,0.3430528191255684,7.5354022115679875
10000,7.37742694173352,5.253734947513253
20000,8.372079824081345,3.748631960891101
30000,10.125633032430516,0.6888291452608812
40000,10.427851563502546,1.1611690415321532
50000,9.309211874872787,4.676186191202349
60000,10.267853736698488,0.5921497365360932
70000,8.900329967820312,5.387175533081983
80000,10.05369838013607,0.5582607439066545
90000,10.12679086014755,0.5852835924165364
100000,9.211703740287367,4.586191039898632
110000,10.15445343277172,0.431847732478503
120000,10.251096054482861,0.5618229647196662
125000,9.220251880941216,4.746280603256617
10000,9.888463833044153,0.7502140215539239
20000,8.785340215075621,3.9405943544088657
30000,2.990923867618459,8.975931100673533
40000,6.52982732782298,7.908612674299977
50000,4.02069434667014,8.26392835622356
60000,0.15044325940292574,7.10243281494371
70000,1.5095172305738704,10.789617343315674
80000,4.931415365308453,8.143738592162837
90000,1.014141469000823,9.179103369967336
100000,3.7699873499236842,9.704339566461917
110000,1.3063523482731412,9.423258456500559
120000,0.23192660690301423,10.047583053135146
125000,5.486755921794538,8.782415822618072
