Time Step,Average Reward,Reward Std
10000,-5.275186733564217,8.550165726846101
20000,5.104276138035802,5.653992387188238
30000,11.60037117402734,0.9104938118224721
40000,10.504321009772836,0.3978119360992626
50000,10.828900709153661,0.587249088483368
60000,10.892681593679827,0.6350525097302993
70000,10.30381243218445,1.9372275011192448
80000,9.136249110211722,4.909549801589936
90000,10.650957512992736,0.3602571429544746
100000,10.538426495618022,0.2260166286254453
110000,10.669386593733915,0.4085374895762008
120000,10.688793623382725,0.3473898472856472
125000,10.772931124773114,0.3548058801963237
