reward,encoder_loss,critic_loss,actor_loss
-0.09487895651879856,1.6111133098602295,0.10009448975324631,
-0.7198362066112731,1.5306012630462646,0.12009048461914062,0.18715879321098328
-0.0834978657112948,1.4604547023773193,0.0952790305018425,
-0.08930386791035454,1.3924592733383179,0.11102347075939178,0.044786714017391205
-0.10160304136588408,1.3243680000305176,0.13702622056007385,
-0.727083689482955,1.2515920400619507,0.15037667751312256,0.012468351982533932
-0.09402834153658546,1.1777515411376953,0.1068979799747467,
-0.10161534160578689,1.1056320667266846,0.14338946342468262,0.05402234196662903
-0.10135082382394049,1.0403525829315186,0.13165341317653656,
-0.10105485994791717,0.9736661911010742,0.1368803232908249,0.09144647419452667
-0.10088086053984238,0.9184902906417847,0.12952953577041626,
-0.10086819191598399,0.8715498447418213,0.13532930612564087,0.10107823461294174
-0.1125560071994299,0.8276890516281128,0.14859819412231445,
-0.11062056656821095,0.794115424156189,0.15823428332805634,0.09190205484628677
-0.1093852263634141,0.7560651302337646,0.11501327157020569,
-0.10881726169395639,0.7146378755569458,0.08953475952148438,0.07323084026575089
-0.7342919012147169,0.6735661029815674,0.1746949553489685,
-0.036279775672015256,0.6311780214309692,0.1720726490020752,0.06131816655397415
-0.10697126762774645,0.5962662696838379,0.17641261219978333,
-0.06264954638477722,0.5639238953590393,0.17519336938858032,0.05894037336111069
-0.1262310407175776,0.5343330502510071,0.1610332727432251,
-0.12786249010689082,0.5086511373519897,0.17659521102905273,0.06534945964813232
-0.13043639612424748,0.478837788105011,0.18652184307575226,
-0.13298556008453927,0.44619983434677124,0.18050052225589752,0.07515403628349304
-0.13557361442944538,0.4081476926803589,0.16436873376369476,
-0.1381069494676711,0.37493419647216797,0.25355613231658936,0.08052375912666321
-0.12106034410462882,0.34330546855926514,0.20968793332576752,
-0.12269291589622648,0.316974401473999,0.16033770143985748,0.08278296887874603
-0.7495881045294662,0.2943214178085327,0.21512725949287415,
-0.1213005190014117,0.27284374833106995,0.25692063570022583,0.08205847442150116
-0.12896654844165306,0.25083333253860474,0.20645758509635925,
-0.13011636924344333,0.23262520134449005,0.23667851090431213,0.0781882256269455
-0.1316558690318497,0.21483181416988373,0.16773684322834015,
-0.13354383508875112,0.19988220930099487,0.1575116664171219,0.07484831660985947
-0.13586030326754805,0.18478533625602722,0.20580509305000305,
-0.1376495646523488,0.1696033477783203,0.19774594902992249,0.07197090983390808
-0.13938510070212312,0.15501663088798523,0.24538031220436096,
