Time Step,Average Reward,Reward Std
10000,-2.0662355512086483,7.824205219671878
20000,3.226147210663291,4.54390858443416
30000,9.616790548831029,2.772812374646138
40000,10.430045254639342,0.4490413120526115
50000,10.305577757883551,0.4166599762913898
60000,10.326547933924918,0.3733171659153886
70000,10.355558165437671,0.3059786734670142
80000,10.388620837100955,0.42144387227916147
90000,10.585572131751633,0.27078699408575096
100000,10.448969676768609,0.46613038561534853
110000,10.565763552944606,0.37636672874495297
120000,10.404580794553127,0.2551390675976115
125000,10.369929222370432,0.2821097420462748
