reward,encoder_loss,critic_loss,actor_loss
-0.07833836700506494,1.5538227558135986,0.10153618454933167,
-0.08058068087438178,1.4913020133972168,0.1005508080124855,0.174531027674675
-0.09349372170123248,1.439507007598877,0.09508851915597916,
-0.7009789577636997,1.382703185081482,0.07252532988786697,0.008226163685321808
-0.007871080968183782,1.323593020439148,0.09251092374324799,
-0.08710501275459687,1.2607855796813965,0.08997566998004913,0.027111830189824104
-0.08687982997500573,1.2000740766525269,0.08770416676998138,
-0.08561351366863054,1.139838695526123,0.10587124526500702,0.09994986653327942
-0.7073078352146417,1.0838472843170166,0.111432284116745,
-0.06014653770747236,1.0285990238189697,0.09731150418519974,0.11306685954332352
-0.056813923405353906,0.9793988466262817,0.09413737058639526,
-0.05537717393123989,0.9345718026161194,0.11845769733190536,0.08360405266284943
-0.05536518753672359,0.8904616832733154,0.07718832045793533,
-0.056565134996759345,0.8491671085357666,0.1214815303683281,0.06242581084370613
-0.05779899104336664,0.8042271137237549,0.11482981592416763,
-0.05936532145969717,0.7629532814025879,0.13094376027584076,0.06301308423280716
-0.06142981623615432,0.721585750579834,0.13494955003261566,
-0.625010490081324,0.6848256587982178,0.12989705801010132,0.0703222006559372
0.13853331695772397,0.6508585810661316,0.16617166996002197,
-0.6697683670587664,0.617656409740448,0.1099228709936142,0.07447417080402374
-0.030875927700566387,0.5841480493545532,0.09699296951293945,
-0.038989483181758544,0.5492884516716003,0.1412382870912552,0.07611460238695145
-0.040619359548808645,0.5130533576011658,0.09334061294794083,
-0.06373814790312814,0.478280246257782,0.13660329580307007,0.0784650444984436
-0.00013519969623376066,0.4425352215766907,0.13273096084594727,
-0.06236751569375863,0.4090823531150818,0.16682258248329163,0.0798058733344078
-0.06271973022072946,0.3784213960170746,0.15944287180900574,
-0.06284545953354759,0.3508263826370239,0.14412903785705566,0.08012009412050247
-0.06341582343389184,0.3236902952194214,0.16062726080417633,
-0.06347859831029651,0.30016905069351196,0.14732739329338074,0.07558895647525787
-0.06459008277745996,0.27647846937179565,0.1349063515663147,
-0.06525761070602365,0.25579583644866943,0.19361791014671326,0.07136861234903336
-0.06578114825457652,0.23456020653247833,0.12568557262420654,
-0.06685948255523033,0.2154880166053772,0.22633635997772217,0.06832205504179001
-0.06848022723584721,0.1981641948223114,0.24837447702884674,
-0.050784308729989056,0.17917537689208984,0.170736163854599,0.07686607539653778
-0.05525106436533053,0.1625174880027771,0.19635020196437836,
-0.05554789332057583,0.1474531590938568,0.17004024982452393,0.08375412225723267
-0.056580180192731026,0.13570351898670197,0.16513705253601074,
